"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_0113000","glutamic acid-rich protein GARP","IDA","PMID:2903445","N/A","PF3D7_0113000.1"
"PF3D7_0113100","surface-associated interspersed protein 1.1 (SURFIN 1.1)","N/A","N/A","N/A","PF3D7_0113100.1"
"PF3D7_0113300","Plasmodium exported protein (hyp1), unknown function","RCA","PMID:16507167","N/A","PF3D7_0113300.1"
"PF3D7_0113800","DBL containing protein, unknown function","ISM","N/A","Pfam:PF05424","PF3D7_0113800.1"
"PF3D7_0114300","exported protein family 4, pseudogene","IDA","PMID:23517413","N/A","PF3D7_0114300.1"
"PF3D7_0115700","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0115700.1"
"PF3D7_0200100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0200100.1"
"PF3D7_0202000","knob-associated histidine-rich protein","IDA","PMID:3301325","N/A","PF3D7_0202000.1"
"PF3D7_0202100","liver stage associated protein 2","IDA","PMID:18688281","N/A","PF3D7_0202100.1"
"PF3D7_0202800","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0303100|GeneDB:PVP01_0422300|GeneDB:PmUG01_04029600","PF3D7_0202800.1"
"PF3D7_0203000","repetitive organellar protein, putative","ISO","PMID:9747969","GeneDB:PCHAS_0303200","PF3D7_0203000.1"
"PF3D7_0203100","protein kinase, putative","ISM","N/A","Pfam:PF00069","PF3D7_0203100.1"
"PF3D7_0203900","5'-3' exonuclease, putative","ISM","PMID:31386260","Pfam:PF02739|Pfam:PF01367","PF3D7_0203900.1"
"PF3D7_0204100","Sel1 repeat-containing protein, putative","ISM","N/A","InterPro:IPR006597","PF3D7_0204100.1"
"PF3D7_0204600","5'-3' exonuclease, putative","ISM","PMID:31386260","InterPro:IPR004859","PF3D7_0204600.1"
"PF3D7_0204800","3'-5' exonuclease, putative","ISM","PMID:31386260","Pfam:PF01612","PF3D7_0204800.1"
"PF3D7_0205100","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0305000|GeneDB:PVP01_0420000|GeneDB:PmUG01_04027300","PF3D7_0205100.1"
"PF3D7_0205400","PCI domain-containing protein, putative","ISM","N/A","PANTHER:PTHR12732","PF3D7_0205400.1"
"PF3D7_0206000","DNA repair protein RAD2, putative","ISS","PMID:25757193","UniProt:P07276","PF3D7_0206000.1"
"PF3D7_0206300","pentafunctional AROM polypeptide, putative, pseudogene","ISS","PMID:23747859","UniProt:P08566","PF3D7_0206300.1"
"PF3D7_0206800","merozoite surface protein 2","IDA","PMID:2181307","N/A","PF3D7_0206800.1"
"PF3D7_0207000","merozoite surface protein 4","IDA","PMID:9353020","N/A","PF3D7_0207000.1"
"PF3D7_0207100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0207100.1"
"PF3D7_0207300","serine repeat antigen 8","IDA","PMID:12228245","N/A","PF3D7_0207300.1"
"PF3D7_0207500","serine repeat antigen 6","IDA","PMID:22984267","N/A","PF3D7_0207500.1"
"PF3D7_0207600","serine repeat antigen 5","IDA","PMID:12228245","N/A","PF3D7_0207600.1"
"PF3D7_0208100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0208100.1"
"PF3D7_0208400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0208400.1"
"PF3D7_0208900","6-cysteine protein P230p","IDA","PMID:12106866","N/A","PF3D7_0208900.1"
"PF3D7_0209000","6-cysteine protein P230","IDA","PMID:8479460","N/A","PF3D7_0209000.1"
"PF3D7_0209700","RING zinc finger protein, putative","ISM","N/A","Pfam:PF13639","PF3D7_0209700.1"
"PF3D7_0210200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0210200.1"
"PF3D7_0211100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0211100.1"
"PF3D7_0211500","GAF domain-related protein, putative","ISM","N/A","Pfam:PF01590","PF3D7_0211500.1"
"PF3D7_0211700","tyrosine kinase-like protein, putative","ISM","PMID:20582613","InterPro:IPR001245","PF3D7_0211700.1"
"PF3D7_0211800","asparagine--tRNA ligase","IDA","PMID:24196969","N/A","PF3D7_0211800.1"
"PF3D7_0212100","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0311100|GeneDB:PVP01_0412800|GeneDB:PmUG01_04020200","PF3D7_0212100.1"
"PF3D7_0212500","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0212500.1"
"PF3D7_0213600","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0312600|GeneDB:PVP01_0411300|GeneDB:PmUG01_04018700","PF3D7_0213600.1"
"PF3D7_0213800","conserved protein, unknown function","ISO","N/A","UniProt:S8GJQ7|UniProt:A0A074TDM4|GeneDB:PCHAS_0312800|GeneDB:PVP01_0411100","PF3D7_0213800.1"
"PF3D7_0214100","protein transport protein SEC31","IDA","PMID:11591825","N/A","PF3D7_0214100.1"
"PF3D7_0214300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0214300.1"
"PF3D7_0214600","serine/threonine protein kinase STK2, putative","ISO","PMID:31444161","GeneDB:PBANKA_0311400","PF3D7_0214600.1"
"PF3D7_0215200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0215200.1"
"PF3D7_0215300","acyl-CoA synthetase","N/A","N/A","N/A","PF3D7_0215300.1"
"PF3D7_0215400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0215400.1"
"PF3D7_0215600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0215600.1"
"PF3D7_0216000","DEAD/DEAH box helicase, putative","ISM","N/A","InterPro:IPR014001","PF3D7_0216000.1"
"PF3D7_0216100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0216100.1"
"PF3D7_0216300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0216300.1"
"PF3D7_0216600","sugar transporter, putative","ISM","PMID:31701663","Pfam:PF03083","PF3D7_0216600.1"
"PF3D7_0216700","autophagy-related protein 11, putative","ISS","PMID:25426852, PMID:25426852","UniProt:Q12527","PF3D7_0216700.1, PF3D7_0216700.2"
"PF3D7_0217200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0217200.1"
"PF3D7_0217600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0217600.1"
"PF3D7_0218200","SUZ domain-containing protein, putative","ISM","N/A","InterPro:IPR024771","PF3D7_0218200.1"
"PF3D7_0218600","patatin-like phospholipase, putative","ISM","PMID:29090840","InterPro:IPR016035","PF3D7_0218600.1"
"PF3D7_0220000","liver stage antigen 3","IDA","PMID:11062538","N/A","PF3D7_0220000.1"
"PF3D7_0220100","DnaJ protein, putative","ISM","N/A","Pfam:PF14308","PF3D7_0220100.1"
"PF3D7_0220400","DnaJ protein, putative, pseudogene","ISM","N/A","Pfam:PF14308","PF3D7_0220400.1"
"PF3D7_0221100","Plasmodium exported protein, unknown function, pseudogene","N/A","N/A","N/A","PF3D7_0221100.1"
"PF3D7_0222300","exported protein family 4, pseudogene","IDA","PMID:23517413","N/A","PF3D7_0222300.1"
"PF3D7_0223500","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0223500.1"
"PF3D7_0300100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0300100.1"
"PF3D7_0301200","serine/threonine protein kinase, FIKK family","IDA","PMID:17181785","N/A","PF3D7_0301200.1"
"PF3D7_0301500","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_0301500.1"
"PF3D7_0301700","Plasmodium exported protein, unknown function","IDA","PMID:25850860","N/A","PF3D7_0301700.1"
"PF3D7_0302100","serine/threonine protein kinase","IDA","PMID:20870716","N/A","PF3D7_0302100.1"
"PF3D7_0302200","cytoadherence linked asexual protein 3.2","IDA","PMID:15953647","N/A","PF3D7_0302200.1"
"PF3D7_0302500","cytoadherence linked asexual protein 3.1","IDA","PMID:15953647","N/A","PF3D7_0302500.1"
"PF3D7_0302600","ABC transporter B family member 4, putative","ISM","N/A","InterPro:IPR001140","PF3D7_0302600.1"
"PF3D7_0302800","RNA-binding protein, putative","ISM","N/A","InterPro:IPR036612","PF3D7_0302800.1"
"PF3D7_0302900","exportin-1, putative","ISS","PMID:19348590","UniProt:O14980|UniProt:P30822","PF3D7_0302900.1"
"PF3D7_0303000","N-ethylmaleimide-sensitive fusion protein","IDA","PMID:11278971","N/A","PF3D7_0303000.1"
"PF3D7_0303200","lipin, putative","ISO","PMID:34001876","UniProt:S7V2T5","PF3D7_0303200.1"
"PF3D7_0303500","spindle pole body protein, putative","ISM","N/A","Pfam:PF04130","PF3D7_0303500.1"
"PF3D7_0303800","IBR domain protein, putative","ISM","N/A","Pfam:PF01485","PF3D7_0303800.1"
"PF3D7_0304600","circumsporozoite (CS) protein","IDA","PMID:6204383","N/A","PF3D7_0304600.1"
"PF3D7_0305100","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0404500|GeneDB:PVP01_0835100|GeneDB:PmUG01_08051100","PF3D7_0305100.1"
"PF3D7_0305200","GRIP domain-containing protein, putative","ISM","N/A","InterPro:IPR000237","PF3D7_0305200.1"
"PF3D7_0305500","protein dopey homolog, putative","ISM","N/A","InterPro:IPR007249|InterPro:IPR040314","PF3D7_0305500.1"
"PF3D7_0305600","DNA-(apurinic or apyrimidinic site) endonuclease","IDA","PMID:33743509","N/A","PF3D7_0305600.1"
"PF3D7_0305800","P-loop containing nucleoside triphosphate hydrolase, putative","ISM","N/A","InterPro:IPR027417","PF3D7_0305800.1"
"PF3D7_0306100","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0405400|GeneDB:PVP01_0834100|GeneDB:PmUG01_08050100","PF3D7_0306100.1"
"PF3D7_0306400","FAD-dependent glycerol-3-phosphate dehydrogenase, putative","ISM","N/A","InterPro:IPR000447","PF3D7_0306400.1"
"PF3D7_0307400","ATP-dependent Clp protease proteolytic subunit","IDA","PMID:19789896","N/A","PF3D7_0307400.1"
"PF3D7_0307600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0307600.1"
"PF3D7_0307700","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0307700.1"
"PF3D7_0307900","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0307900.1"
"PF3D7_0308100","zinc finger protein, putative","ISM","N/A","InterPro:IPR000315","PF3D7_0308100.1"
"PF3D7_0309000","dual specificity protein phosphatase","IDA","PMID:14698441","N/A","PF3D7_0309000.1"
"PF3D7_0309700","SECIS-binding protein 2, putative","ISS","PMID:16428245","UniProt:Q96T21","PF3D7_0309700.1"
"PF3D7_0310100","calcium-dependent protein kinase 3","IDA","PMID:10760601","N/A","PF3D7_0310100.1"
"PF3D7_0310200","phd finger protein, putative","ISM","PMID:21453511","Pfam:PF13832","PF3D7_0310200.1"
"PF3D7_0310400","parasite-infected erythrocyte surface protein","IDA","PMID:15287581","N/A","PF3D7_0310400.1"
"PF3D7_0310900","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0409800|GeneDB:PVP01_0829300|GeneDB:PmUG01_08045300","PF3D7_0310900.1"
"PF3D7_0311200","valine--tRNA ligase, putative","ISM","N/A","InterPro:IPR002303","PF3D7_0311200.1"
"PF3D7_0311400","kinase-related protein PKRP, putative","ISO","PMID:20227415","GeneDB:PBANKA_0409400","PF3D7_0311400.1"
"PF3D7_0311600","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST1, putative","ISM","PMID:27492357","InterPro:IPR007676","PF3D7_0311600.1"
"PF3D7_0312200","tetratricopeptide repeat protein, putative","ISM","N/A","Pfam:PF13414","PF3D7_0312200.1"
"PF3D7_0312300","26S proteasome regulatory subunit RPN12, putative","ISS","PMID:24533266","UniProt:P32496","PF3D7_0312300.1"
"PF3D7_0314200","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0412850|GeneDB:PVP01_0825900|GeneDB:PmUG01_08041900","PF3D7_0314200.1"
"PF3D7_0314700","RING finger protein RNF1","IDA","PMID:28791254","N/A","PF3D7_0314700.1"
"PF3D7_0314900","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0314900.1"
"PF3D7_0315300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0315300.1"
"PF3D7_0316000","microneme associated antigen","IDA","PMID:24058628","N/A","PF3D7_0316000.1"
"PF3D7_0316200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0316200.1"
"PF3D7_0316300","inorganic pyrophosphatase","IDA","PMID:28701714","N/A","PF3D7_0316300.1"
"PF3D7_0316300","inorganic pyrophosphatase, putative","N/A","N/A","N/A","PF3D7_0316300.2"
"PF3D7_0317100","6-cysteine protein","IDA","PMID:24509910","N/A","PF3D7_0317100.1"
"PF3D7_0317200","cdc2-related protein kinase 4","IDA","PMID:28211852","N/A","PF3D7_0317200.1"
"PF3D7_0317300","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0808200|GeneDB:PVP01_0822800|GeneDB:PmUG01_08038800","PF3D7_0317300.1"
"PF3D7_0317400","DNA replication complex GINS protein, putative","ISM","N/A","InterPro:IPR007257","PF3D7_0317400.1"
"PF3D7_0317500","kinesin-5","IDA","PMID:24737313","N/A","PF3D7_0317500.1"
"PF3D7_0318200","DNA-directed RNA polymerase II subunit RPB1","IDA","PMID:25373614","N/A","PF3D7_0318200.1"
"PF3D7_0318300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0318300.1"
"PF3D7_0318500","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0318500.1"
"PF3D7_0318600","cleavage and polyadenylation specificity factor, putative","N/A","N/A","N/A","PF3D7_0318600.1"
"PF3D7_0318800","triosephosphate isomerase, putative","ISS","N/A","Pfam:PF00121|UniProt:P00942","PF3D7_0318800.1"
"PF3D7_0318900","conserved protein, unknown function","ISM","N/A","Pfam:PF07946","PF3D7_0318900.1"
"PF3D7_0319000","P4-type ATPase ATP7, putative","ISO","PMID:34301597","UniProtKB:A0A078K659","PF3D7_0319000.1"
"PF3D7_0319300","ubiquitin-conjugating enzyme E2, putative","ISM","N/A","InterPro:IPR000608","PF3D7_0319300.1"
"PF3D7_0319400","kinesin-8X","IDA","PMID:31600347","N/A","PF3D7_0319400.1"
"PF3D7_0319700","ABC transporter I family member 1, putative","ISM","N/A","InterPro:IPR003439","PF3D7_0319700.1"
"PF3D7_0319900","conserved protein, unknown function","ISO","N/A","UniProt:S7UJP9|GeneDB:PCHAS_1219300|GeneDB:PVP01_0820300","PF3D7_0319900.1"
"PF3D7_0320200","CPW-WPC family protein","ISM","N/A","Pfam:PF09717","PF3D7_0320200.1"
"PF3D7_0321000","conserved protein, unknown function","ISO","N/A","UniProt:S8G7E8|UniProt:F0VB96|GeneDB:PCHAS_1218200|GeneDB:PVP01_0819200","PF3D7_0321000.1"
"PF3D7_0321600","ATP-dependent RNA helicase DDX42, putative","ISS","PMID:26525978","UniProt:Q86XP3","PF3D7_0321600.1"
"PF3D7_0321700","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0321700.1"
"PF3D7_0321800","WD repeat-containing protein, putative","ISM","PMID:26043001","InterPro:IPR017986","PF3D7_0321800.1"
"PF3D7_0321900","cyclic amine resistance locus protein","IDA","PMID:22096101, PMID:27381290","N/A","PF3D7_0321900.1, PF3D7_0321900.1"
"PF3D7_0322300","diacylglycerol O-acyltransferase","IDA","PMID:15110461","N/A","PF3D7_0322300.1"
"PF3D7_0322600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0322600.1"
"PF3D7_0322700","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1216500|GeneDB:PVP01_0817500|GeneDB:PmUG01_08033400","PF3D7_0322700.1"
"PF3D7_0323100","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0323100.1"
"PF3D7_0323600","BSD domain-containing protein, putative","ISM","N/A","InterPro:IPR005607","PF3D7_0323600.1"
"PF3D7_0324300","exported protein family 4","IDA","PMID:23517413","N/A","PF3D7_0324300.1"
"PF3D7_0324900","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0324900.1"
"PF3D7_0400100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0400100.1"
"PF3D7_0400200","erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene","N/A","N/A","N/A","PF3D7_0400200.1"
"PF3D7_0400400","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0400400.1"
"PF3D7_0402300","reticulocyte binding protein homologue 1","IDA","PMID:11733572","N/A","PF3D7_0402300.1"
"PF3D7_0403200","pre-mRNA splicing factor, putative","ISM","N/A","Pfam:PF12542","PF3D7_0403200.1"
"PF3D7_0403400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0403400.1"
"PF3D7_0403600","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1002200|GeneDB:PVP01_0302900|GeneDB:PmUG01_03013600","PF3D7_0403600.1"
"PF3D7_0403700","pre-mRNA-splicing factor CLF1, putative","ISS","PMID:21245033","UniProt:Q12309","PF3D7_0403700.1"
"PF3D7_0404100","AP2 domain transcription factor AP2-SP2, putative","ISO","PMID:28081440","GeneDB:PBANKA_1001800","PF3D7_0404100.1"
"PF3D7_0404300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0404300.1"
"PF3D7_0404400","6-cysteine protein P36","IDA","PMID:26612952","N/A","PF3D7_0404400.1"
"PF3D7_0404600","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0404600.1"
"PF3D7_0405200","ag-1 blood stage membrane protein homologue","N/A","N/A","N/A","PF3D7_0405200.1"
"PF3D7_0405300","liver specific protein 2, putative","ISO","PMID:23216750","GeneDB:PBANKA_1003000","PF3D7_0405300.1"
"PF3D7_0405400","pre-mRNA-processing-splicing factor 8, putative","ISS","PMID:21245033","UniProt:Q6P2Q9","PF3D7_0405400.1"
"PF3D7_0405700","lysine decarboxylase, putative","ISM","N/A","Pfam:PF01276","PF3D7_0405700.1"
"PF3D7_0405900","apical sushi protein","IDA","PMID:15694487","N/A","PF3D7_0405900.1"
"PF3D7_0406200","parasitophorous vacuole membrane protein S16","IDA","PMID:14698439","N/A","PF3D7_0406200.1"
"PF3D7_0406500","NYN domain-containing protein, putative","ISM","N/A","InterPro:IPR021869","PF3D7_0406500.1"
"PF3D7_0407600","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0407600.1"
"PF3D7_0407800","protein CINCH","IDA","PMID:31097714","N/A","PF3D7_0407800.1"
"PF3D7_0407900","AAA family ATPase, putative","ISM","N/A","Pfam:PF00004","PF3D7_0407900.1"
"PF3D7_0408100","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1006600|GeneDB:PVP01_0307400|GeneDB:PmUG01_03018100","PF3D7_0408100.1"
"PF3D7_0408900","tRNA N6-adenosine threonylcarbamoyltransferase","IDA","PMID:25204654, PMID:25204654","N/A","PF3D7_0408900.1, PF3D7_0408900.2"
"PF3D7_0409000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0409000.1"
"PF3D7_0409300","methyltransferase, putative","ISM","N/A","InterPro:IPR029063","PF3D7_0409300.1"
"PF3D7_0409600","replication protein A1, large subunit","IDA","PMID:11880371","N/A","PF3D7_0409600.1"
"PF3D7_0410000","erythrocyte vesicle protein 1","IDA","PMID:18688278","N/A","PF3D7_0410000.1"
"PF3D7_0410300","protein phosphatase PPM1, putative","ISO","PMID:25011111","GeneDB:PBANKA_1007700","PF3D7_0410300.1"
"PF3D7_0410500","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_1008800|GeneDB:PVP01_0309800|GeneDB:PmUG01_03020500","PF3D7_0410500.1"
"PF3D7_0410600","armadillo-type repeat protein ATRP","IDA","PMID:32266165","N/A","PF3D7_0410600.1"
"PF3D7_0410800","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0410800.1"
"PF3D7_0410900","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0410900.1"
"PF3D7_0411000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0411000.1"
"PF3D7_0411200","PP-loop family protein, putative","ISM","N/A","Pfam:PF01171","PF3D7_0411200.1"
"PF3D7_0411300","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0614400|GeneDB:PVP01_0310600|GeneDB:PmUG01_03021300","PF3D7_0411300.1"
"PF3D7_0411400","DEAD box ATP-dependent RNA helicase, putative","ISM","N/A","Pfam:PF00271|Pfam:PF00270","PF3D7_0411400.1"
"PF3D7_0411800","conserved Plasmodium protein, unknown function","ISO","N/A","GeneDB:PCHAS_0614700|GeneDB:PVP01_0311100|GeneDB:PmUG01_03021800","PF3D7_0411800.1"
"PF3D7_0411900","DNA polymerase alpha catalytic subunit A","IDA","PMID:8367280","N/A","PF3D7_0411900.1"
"PF3D7_0412100","ribosomal protein S12, mitochondrial","IDA","PMID:32273345","N/A","PF3D7_0412100.1"
"PF3D7_0412400","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0412400.1"
"PF3D7_0412700","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0412700.1"
"PF3D7_0412900","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0412900.1"
"PF3D7_0413100","erythrocyte membrane protein 1, PfEMP1","N/A","N/A","N/A","PF3D7_0413100.1"
"PF3D7_0413500","phosphoglucomutase-2","IDA","PMID:21689687","N/A","PF3D7_0413500.1"
"PF3D7_0414000","structural maintenance of chromosomes protein 3","IDA","PMID:32017676","N/A","PF3D7_0414000.1"
"PF3D7_0414100","conserved Plasmodium membrane protein, unknown function","N/A","N/A","N/A","PF3D7_0414100.1"
"PF3D7_0414400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0414400.1"
"PF3D7_0414700","GTP-binding protein, putative","ISM","N/A","InterPro:IPR006073","PF3D7_0414700.1"
"PF3D7_0415100","conserved protein, unknown function","ISM","N/A","Pfam:PF10354","PF3D7_0415100.1"
"PF3D7_0415200","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0415200.1"
"PF3D7_0416200","conserved protein, unknown function","ISM","N/A","Pfam:PF06658","PF3D7_0416200.1"
"PF3D7_0416400","histone acetyltransferase, putative","ISM","N/A","Pfam:PF10394","PF3D7_0416400.1"
"PF3D7_0416900","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0416900.1"
"PF3D7_0417200","bifunctional dihydrofolate reductase-thymidylate synthase","IDA","PMID:2825189","N/A","PF3D7_0417200.1"
"PF3D7_0417300","LETM1-like protein, putative","ISS","PMID:30423025","Pfam:PF07766|UniProt:S7UPG6","PF3D7_0417300.1"
"PF3D7_0417400","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0417400.1"
"PF3D7_0417700","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0417700.1"
"PF3D7_0418000","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0418000.1"
"PF3D7_0418100","protein SOC1, putative","ISO","PMID:28481199","GeneDB:PBANKA_0720200","PF3D7_0418100.1"
"PF3D7_0418300","conserved Plasmodium protein, unknown function","N/A","N/A","N/A","PF3D7_0418300.1"
"PF3D7_0418600","regulator of chromosome condensation, putative","ISM","PMID:21453511","Pfam:PF13540","PF3D7_0418600.1"
"PF3D7_0418700","RNA-binding protein NOB1, putative","ISM","N/A","Pfam:PF08772","PF3D7_0418700.1"
